,wearable_label_id,x_value,y_value,z_value,timest
2781,1,-82,80,-68,2019-07-09 08:40:28
2782,1,-128,141,-158,2019-07-09 08:40:28
2783,1,-88,106,-170,2019-07-09 08:40:28
2784,1,-150,15,-67,2019-07-09 08:40:29
2785,1,-89,-90,-96,2019-07-09 08:40:29
2786,1,-145,-17,-104,2019-07-09 08:40:29
2787,1,-108,-67,-2,2019-07-09 08:40:29
2788,1,-70,68,-59,2019-07-09 08:40:29
2789,1,-69,72,-51,2019-07-09 08:40:29
2790,1,-166,-142,-135,2019-07-09 08:40:29
2791,1,-150,-24,-50,2019-07-09 08:40:29
2792,1,-115,84,-95,2019-07-09 08:40:29
2793,1,-102,-58,-66,2019-07-09 08:40:29
2794,1,-120,-19,-147,2019-07-09 08:40:30
2795,1,-66,176,-149,2019-07-09 08:40:30
2796,1,-210,48,-95,2019-07-09 08:40:30
2797,1,-94,48,-86,2019-07-09 08:40:30
2798,1,-126,-145,-34,2019-07-09 08:40:30
2799,1,-103,56,-146,2019-07-09 08:40:30
2800,1,-111,189,-133,2019-07-09 08:40:32
2801,1,-111,189,-133,2019-07-09 08:40:32
2802,1,-84,169,-160,2019-07-09 08:40:32
2803,1,-84,169,-160,2019-07-09 08:40:32
2804,1,-56,100,-138,2019-07-09 08:40:32
2805,1,-56,100,-138,2019-07-09 08:40:32
2806,1,-81,42,-121,2019-07-09 08:40:32
2807,1,-81,42,-121,2019-07-09 08:40:32
2808,1,-103,-53,-128,2019-07-09 08:40:32
2809,1,-103,-53,-128,2019-07-09 08:40:32
2810,1,-53,-144,-96,2019-07-09 08:40:32
2811,1,-53,-144,-96,2019-07-09 08:40:32
2812,1,-53,-144,-96,2019-07-09 08:40:32
2813,1,-141,-76,-80,2019-07-09 08:40:32
2814,1,-141,-76,-80,2019-07-09 08:40:32
2815,1,-135,-45,-106,2019-07-09 08:40:32
2816,1,-135,-45,-106,2019-07-09 08:40:32
2817,1,-80,16,-76,2019-07-09 08:40:32
2818,1,-80,16,-76,2019-07-09 08:40:32
2819,1,-121,7,-87,2019-07-09 08:40:32
2820,1,-121,7,-87,2019-07-09 08:40:32
2821,1,-119,5,-77,2019-07-09 08:40:32
2822,1,-119,5,-77,2019-07-09 08:40:32
2823,1,-166,35,-127,2019-07-09 08:40:32
2824,1,-185,-40,-99,2019-07-09 08:40:33
2825,1,-177,48,-115,2019-07-09 08:40:33
2826,1,-67,-67,-96,2019-07-09 08:40:33
2827,1,-92,-126,-81,2019-07-09 08:40:33
2828,1,-102,-9,-126,2019-07-09 08:40:33
2829,1,-94,162,-95,2019-07-09 08:40:33
2830,1,-89,83,-129,2019-07-09 08:40:33
2831,1,-106,-78,-138,2019-07-09 08:40:33
2832,1,-93,-5,-76,2019-07-09 08:40:33
2833,1,-39,49,-83,2019-07-09 08:40:33
2834,1,-152,-60,-69,2019-07-09 08:40:34
2835,1,-59,19,-70,2019-07-09 08:40:34
2836,1,-16,0,-80,2019-07-09 08:40:34
2837,1,-32,11,-49,2019-07-09 08:40:34
2838,1,-136,-22,-139,2019-07-09 08:40:34
2839,1,-26,100,-98,2019-07-09 08:40:34
2840,1,-141,91,-94,2019-07-09 08:40:34
2841,1,-100,88,-130,2019-07-09 08:40:34
2842,1,-103,-85,-46,2019-07-09 08:40:34
2843,1,-247,-29,-91,2019-07-09 08:40:34
2844,1,-61,-28,-74,2019-07-09 08:40:35
2845,1,-24,-118,-80,2019-07-09 08:40:35
2846,1,-55,33,-86,2019-07-09 08:40:35
2847,1,-133,-12,-124,2019-07-09 08:40:35
2848,1,-77,28,-120,2019-07-09 08:40:35
2849,1,-109,-87,-56,2019-07-09 08:40:35
2850,1,-148,-3,-120,2019-07-09 08:40:37
2851,1,-164,-1,-118,2019-07-09 08:40:37
2852,1,-164,-1,-118,2019-07-09 08:40:37
2853,1,-101,71,-108,2019-07-09 08:40:37
2854,1,-101,71,-108,2019-07-09 08:40:37
2855,1,-101,71,-112,2019-07-09 08:40:37
2856,1,-115,201,-112,2019-07-09 08:40:37
